house name,price per week,room type,bedroom,bathroom,parking,school 1,distance 1,school 2,distance 2,school 3,distance 3,school 4,distance 4,school 5,distance 5
17/872 Doncaster Road Doncaster East Vic 3109,500,Apartment,2,2,1,Doncaster Gardens Primary School,622,Sts Peter and Paul's School,749,Doncaster Secondary College,842,East Doncaster Secondary College,1208,Doncaster Primary School,1396
18 Pitt Street West Footscray Vic 3012,590,House,3,2,3,Footscray West Primary School,570,Christ the King Primary School,942,Dinjerra Primary School,1192,Rosamond Special School,1326,St John's School,1357
18/62 Wellington Street St Kilda Vic 3182,395,Apartment,1,1,1,St Michael's Grammar School,490,Presentation College Windsor,636,Prahran High School,701,Windsor Primary School,758,St Kilda Park Primary School,843
19 Regent Street Oakleigh Vic 3166,550,House,3,2,1,Sacred Heart Parish School,665,Sacred Heart Girls' College,759,Oakleigh Primary School,817,Christ Our Holy Redeemer School,1109,Oakleigh Grammar,1158
19 Scott Grove Kingsbury Vic 3083,580,House,5,2,2,Kingsbury Primary School,270,Our Lady of the Way School,511,Reservoir High School,772,Reservoir East Primary School,1262,St Stephen's School,1680
1903/285 La Trobe Street Melbourne Vic 3000,630,Apartment,2,1,1,Ozford College,619,Haileybury College - City Campus,697,Simonds Catholic College,899,St Joseph's Flexible Learning Centre,911,Holmes Secondary School,996
195A Alma Road St Kilda East Vic 3183,1000,House,4,2,2,Beth Rivkah Ladies College,665,Yeshivah and Beth Rivkah Colleges,694,St Mary's School,731,Christian Brothers' College,769,The King David School,774
1A Murray Drive Burwood Vic 3125,890,House,4,3,2,Wattle Park Primary School,403,Presbyterian Ladies' College,633,Hartwell Primary School,1449,Mount Scopus Memorial College,1538,Ashwood School,1579
1/104 High Street Northcote Vic 3070,710,House,3,1,0,St Joseph's Primary School,568,Northcote Primary School,885,Westgarth Primary School,909,Spensley Street Primary School,1020,Fitzroy High School,1021
1/13 Peverill Street Deepdene Vic 3103,445,Apartment,3,2,0,Our Lady of Good Counsel Parish School,338,Camberwell Anglican Girls' Grammar School,462,Deepdene Primary School,560,Camberwell Grammar School,580,Genazzano FCJ College,590
1/151 Buckley Street Seddon Vic 3011,820,Townhouse,3,2,2,Footscray Primary School,502,Gilmore College For Girls,631,Footscray City Primary School,805,St John's School,962,St Augustine's School,1210
1/17 Sebastopol Street Caulfield North Vic 3161,650,Unit,2,2,2,Caulfield Junior College,179,St Aloysius' School,643,Shelford Girls' Grammar,925,Caulfield Park Community School,1326,Caulfield Grammar School,1359
1/173 Kilby Rd Kew East Vic 3102,400,Apartment,2,1,1,Kew High School,400,Kew East Primary School,959,St Anne's Parish School,1007,St Bede's Parish School,1078,Balwyn High School,1516
1/19 Odessa Court Werribee Vic 3030,350,House,3,2,1,Thomas Chirnside Primary School,304,Manorvale Primary School,969,St Andrew's Primary School,1092,Iramoo Primary School,1095,Werribee Primary School,1876
1/22 Maivary Lane Northcote Vic 3070,550,Townhouse,2,1,1,Westgarth Primary School,447,Santa Maria College,832,Fairfield Primary School,1029,St Anthony's School,1109,St Joseph's Primary School,1222
1/24 Border Drive Mill Park Vic 3082,360,Unit,2,1,2,Mill Park Heights Primary School,911,Meadowglen Primary School,960,Mill Park Secondary College,1597,St Francis of Assisi Primary School,1631,Findon Primary School,1969
1/24 Canonbury Circle Seabrook Vic 3028,340,House,3,1,1,Seabrook Primary School,88,Lumen Christi Catholic Primary School Point Cook,1422,Carranballac P-9 College,1541,Altona Green Primary School,2238,Altona Meadows Primary School,2341
1/26 Houston Street Epping Vic 3076,500,Townhouse,4,2,2,Epping Primary School,337,St Peter's Parish Primary School,350,St Monica's College,395,Epping Secondary College,1096,Lalor North Secondary College,1450
1/28 Oakern Street Mount Waverley Vic 3149,470,Unit,3,1,1,Mount Waverley Primary School,636,Mount Waverly Heights Primary School,898,Holy Family School,1615,Avila College,1620,Christ Our Holy Redeemer School,1633
1/31 Bevan Avenue Clayton South Vic 3169,400,House,3,1,1,Westall Secondary College,1012,Westall Primary School,1114,Clayton South Primary School,1332,St Peter's School,1453,St Andrew's School,1897
1/33-41 Rankins Road Kensington Vic 3031,365,Apartment,1,1,2,Flemington Primary School,490,Kensington Primary School,558,Debney Meadows Primary School,586,Kensington Community High School,599,St Brendan's School,600
1/39 Walpole Street Kew Vic 3101,525,Apartment,3,1,0,Kew Primary School,145,St Paul's College,513,Sacred Heart Parish School,797,Trinity Grammar School,836,Xavier College,948
1/44 Victoria Street Coburg Vic 3058,650,Townhouse,3,2,1,Coburg Primary School,493,St Paul's Parish Primary School,778,Coburg North Primary School,1038,St Fidelis' Primary School,1182,Coburg High School,1230
1/5 Stratheden Court Sydenham Vic 3037,450,Townhouse,4,2,2,Emmaus Catholic Primary School,886,Catholic Regional College Sydenham,1023,Overnewton Anglican Community College Taylors Lakes Campus,1040,Sydenham - Hillside Primary School,1068,Cana Catholic Primary School,1550
1/5 Tobias Avenue Glen Waverley Vic 3150,550,Unit,3,2,1,St Leonard's Parish Primary School,402,Glenallen School,621,Mount View Primary School,933,Glen Waverley South Primary School,1133,Glen Waverley Secondary College,1180
