,0
594,1044.3356003
595,1233.61278104
596,1782.50162021
597,None
598,891.38852712
599,1819.90499187
600,1119.2955861
601,550.61437663
602,1636.84660613
603,1105.34401781
604,1182.98247695
605,1943.5564825
606,315.74547169
607,1259.02466856
608,1665.254772
609,None
610,1895.38822962
611,1365.87431393
612,1976.26444767
613,None
614,1837.06153152
615,None
616,968.06146197
617,1365.58143455
618,923.92638041
619,None
620,1622.41499308
621,1063.76087224
622,None
623,1767.96485012
624,None
625,None
626,994.6347454
627,1536.32600364
628,1940.79339305
629,594.55805459
630,1032.26461539
631,1491.39514638
632,1661.16280949
633,None
634,None
635,None
636,None
637,None
638,1984.07481939
639,1643.1508192
640,1954.5232861
641,1797.42781649
642,1975.32224794
643,None
644,765.87484293
645,None
646,None
647,1529.95841965
648,1704.326659
649,1334.62631878
650,1690.11536565
651,None
652,1258.07497015
653,1478.71386596
654,None
655,1868.75428405
656,1567.25188556
657,None
658,1383.37985031
659,971.19050468
660,None
661,1191.34575241
662,None
663,None
664,None
665,None
666,1856.25447567
667,None
668,1956.77437891
669,None
670,662.95317114
671,812.49543222
672,1819.29177881
673,653.15210381
674,None
675,1098.81535243
676,None
677,None
678,1887.01427355
679,1139.52443564
680,None
681,721.3305261
682,1415.64720264
683,None
684,1244.12377539
685,None
686,None
687,None
688,1012.25417469
689,1593.99476299
690,1793.48838658
691,None
692,1653.05674606
693,None
694,None
695,978.01053822
696,None
697,None
698,None
699,399.10979222
700,1663.30251187
701,823.0889506
702,None
703,None
704,None
705,1822.524222
706,None
707,1465.31613004
708,1196.07420533
709,1792.08861703
710,None
711,None
712,1949.92979735
713,None
714,1071.47422111
715,1345.11485842
716,1298.00304189
717,None
718,None
719,250.40150839
720,1977.43244117
721,None
722,1762.27858346
723,1861.75435395
724,None
725,1072.77958418
726,1481.48152881
727,1362.44654989
728,1562.98474401
729,1357.21183568
730,None
731,1635.3747608
732,1696.57589532
733,1694.92809183
734,None
735,None
736,None
737,None
738,1970.86979368
739,949.12194179
740,None
741,None
742,None
743,1949.8107419
744,None
745,None
746,405.75937873
747,None
748,1854.50809015
749,1837.29792368
750,None
751,803.59053176
752,1420.55014963
753,971.67840416
754,1524.05368907
755,None
756,782.26945465
757,1647.80174601
758,861.52241679
759,1348.90767206
760,None
761,1342.40524822
762,862.81855833
763,None
764,None
765,None
766,None
767,1626.40042547
768,1058.49850885
769,1922.37788116
770,None
771,1516.56754334
772,1789.68899186
773,641.70888067
774,None
775,None
776,None
777,None
778,585.05587967
779,None
780,1748.63126707
781,None
782,None
783,None
784,None
785,1194.74083624
786,None
787,1517.26469978
788,1498.28992684
789,522.90394418
790,1708.29554187
791,None
792,None
793,None
794,None
795,None
796,None
797,574.40584762
798,None
799,527.48677723
800,1101.82677042
801,231.99922978
802,977.68503078
803,298.3314281
804,1200.49120121
805,None
806,825.36604256
807,1461.81627842
808,None
809,None
810,None
811,None
812,None
813,1480.06174438
814,None
815,568.31749029
816,None
817,1330.39771357
818,767.83653816
819,None
820,1369.85754695
821,None
822,572.8370561
823,1038.27689651
824,505.72536845
825,1833.11566387
826,None
827,None
828,1474.14471882
829,None
830,1971.7543154
831,395.19626406
832,None
833,1252.31584216
834,None
835,None
836,1492.43394982
837,None
838,None
839,962.03801734
840,1110.95399109
841,None
842,None
843,None
844,760.35317095
845,None
846,112.10561407
847,1208.7235399
848,None
849,None
850,None
851,None
852,902.42660848
853,1711.86864673
854,949.03861654
855,145.48551472
856,None
857,1767.70603122
858,None
859,713.88521364
860,734.16642381
861,None
862,1252.66377403
863,1061.90376555
864,773.62193372
865,None
866,735.12398111
867,None
868,481.47210047
869,1930.47872782
870,1108.81756734
871,1676.80525399
872,1481.30498028
873,None
874,954.71657159
875,None
876,1660.02650262
877,1805.9993249
878,1343.86891441
879,None
880,None
881,1256.11466457
882,None
883,None
884,1487.11508855
885,1192.35937378
886,759.47982994
887,1904.05793873
888,None
889,1934.96998245
890,1637.03980178
891,1980.79060538
892,788.9618624
893,None
894,1633.04041186
895,1747.90128838
896,1027.70038161
897,1492.51135644
898,1492.51135644
899,None
900,287.6985041
901,1094.18203201
902,598.69811574
903,None
904,1654.92612334
905,1677.48561206
906,None
907,1448.07286311
908,None
909,None
910,405.90827281
911,1867.25427868
912,920.09708284
913,None
914,1755.45238654
915,None
916,None
917,1705.53407631
918,1420.37180389
919,1944.27866657
920,1337.71871943
921,898.53307682
922,1992.61939818
923,None
924,408.3147496
925,None
926,1796.66085305
927,None
928,976.5459991
929,1349.73326151
930,None
931,None
932,None
933,1182.36035974
934,None
935,1785.53386315
936,None
937,None
938,673.29895708
939,None
940,389.67639307
941,None
942,None
943,1155.04326312
944,1159.27446129
945,516.86888057
946,1497.19246905
947,726.23606029
948,None
949,None
950,None
951,1924.60836636
952,1924.60836636
953,None
954,824.58985215
955,None
956,None
957,None
958,1564.49170736
959,None
960,None
961,None
962,640.35787431
963,802.8278697
964,None
965,None
966,1673.00531036
967,321.46318664
968,1064.60449997
969,None
970,1562.50024019
971,814.44140052
972,None
973,341.55045261
974,None
975,363.54784838
976,None
977,1723.43988796
978,None
979,1066.58593894
