,Suburbs,Addresses,Price per week ($),Bedrooms,Bathrooms,Garages,Land Sizes (m^2),Nearest Schools
1732,NARRE WARREN SOUTH VIC 3805,"2/4 Culcairn Court, NARRE WARREN SOUTH VIC 3805",$420,2,2,1,,"['0.9 km away', '15.6 km away', '24 km away']"
1733,DANDENONG VIC 3175,"2/12 New Street, DANDENONG VIC 3175",$380,2,1,1,,"['0.1 km away', '1.4 km away', '15.5 km away']"
1734,GLEN IRIS VIC 3146,"17/1495-1499 Malvern Road, GLEN IRIS VIC 3146",$420,1,1,0,,"['0.9 km away', '1.5 km away', '8.3 km away']"
1735,MELBOURNE VIC 3000,"6308/450 Elizabeth Street, MELBOURNE VIC 3000",$550,1,1,0,,"['1 km away', '1.3 km away', '0.5 km away']"
1736,BOX HILL VIC 3128,"504/490 Elgar Road, BOX HILL VIC 3128",$225,2,1,0,,"['0.6 km away', '1 km away', '1.2 km away']"
1737,SOUTHBANK VIC 3006,"606/250 City Road, SOUTHBANK VIC 3006",$400,2,2,1,,"['0.7 km away', '2 km away', '3.7 km away']"
1738,PRAHRAN VIC 3181,"106/14-18 Porter Street, PRAHRAN VIC 3181",$485,1,1,1,,"['0.2 km away', '0.9 km away', '3.5 km away']"
1739,COLLINGWOOD VIC 3066,"16/34 Smith Street, COLLINGWOOD VIC 3066",$400,1,1,0,,"['0.1 km away', '0.8 km away', '7.4 km away']"
1740,CAULFIELD NORTH VIC 3161,"49/15 Hawthorn Road, CAULFIELD NORTH VIC 3161",$250,2,1,2,,"['0.6 km away', '2.3 km away', '7.3 km away']"
1741,RICHMOND VIC 3121,"810/11 David Street, RICHMOND VIC 3121",$555,2,1,1,,"['0.4 km away', '0.9 km away', '0.9 km away']"
1742,GLEN WAVERLEY VIC 3150,"311/23 Osullivan Road, GLEN WAVERLEY VIC 3150",$620.00,1,1,1,,"['0.3 km away', '0.5 km away', '13 km away']"
1743,NORTH MELBOURNE VIC 3051,"605/69 Flemington Road, NORTH MELBOURNE VIC 3051",$380,2,1,1,,"['0.3 km away', '0.3 km away', '0.5 km away']"
1744,MERNDA VIC 3754,"203/38 Rowell Drive, MERNDA VIC 3754",$350,1,1,0,,"['0.6 km away', '1.7 km away', '11.2 km away']"
1745,PORT MELBOURNE VIC 3207,"1003/3 Tarver Street, PORT MELBOURNE VIC 3207",$420,1,1,1,,"['1.1 km away', '1.9 km away', '2.6 km away']"
1746,RESERVOIR VIC 3073,"3/40 Elsey Road, RESERVOIR VIC 3073",$350,2,2,0,,"['0.8 km away', '1.3 km away', '0.7 km away']"
1747,MELBOURNE VIC 3000,"1909/560 Lonsdale Street, MELBOURNE VIC 3000",$680.00,2,1,0,,"['1.9 km away', '1.2 km away', '1.7 km away']"
1748,HOPETOUN VIC 3396,"REAR/71 Toole Street, HOPETOUN VIC 3396",$180,2,1,0,,"['0.8 km away', '0.5 km away']"
1749,MELBOURNE VIC 3000,"1101/442 Elizabeth Street, MELBOURNE VIC 3000",$625,1,1,1,,"['1 km away', '1.3 km away', '0.5 km away']"
